timestep,decision,prb_decision,policy_decision
306,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
307,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
308,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
309,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
310,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
311,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
312,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
313,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
314,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
315,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
316,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
317,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
318,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
319,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
320,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
321,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
322,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
